what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805586167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805587827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805603119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805605588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805607898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805617850
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317805618116
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317805620095
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317805626061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317805646874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805653821
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1317805659204
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317805661412
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317805667244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805671328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805688618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805689459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805691961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805708441
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317805710889
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317805710961
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.jdt.ui.PackageExplorer while still in the middle of activating part com.soyatec.uml.ClassDiagramEditor",1317805711077
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317805711084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805714423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805728615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805731858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805735693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805736190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805742032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805743659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805776779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805782389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805792986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805796462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805812206
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317805812852
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317805815347
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317805817096
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317805817170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805843249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805845968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805848830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805870044
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1317805878721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317805878832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805882522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805885491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805887724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805892655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805893325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317805895254
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317805896308
